case_key,slice_id,family,source_id,arm,success,gold_exposure_hit,gold_top1,candidate_n,champion_label,runner_up_label,margin,pool_sha256,cache_hit,error
DA_d2_heldout100/254,DA_d2_heldout100,DA,254,evidence_count_control,True,False,False,10,Parapharyngeal abscess,Lemierre's syndrome,low,81e58ac5c619443f171e95bc06c319cf314140548723f266f02ac3aa9bc45c68,False,
DA_d2_heldout100/254,DA_d2_heldout100,DA,254,e7_contrast,True,False,False,10,Levator scapulae muscle abscess,Pyomyositis,medium,81e58ac5c619443f171e95bc06c319cf314140548723f266f02ac3aa9bc45c68,True,
DA_d2_heldout100/254,DA_d2_heldout100,DA,254,forest_evidence_integrator,True,False,False,10,Levator scapulae muscle abscess,Pyomyositis,high,81e58ac5c619443f171e95bc06c319cf314140548723f266f02ac3aa9bc45c68,False,
DA_d2_heldout100/254,DA_d2_heldout100,DA,254,collapse_obligation_ledger,True,False,False,10,Pyomyositis,Paraspinal abscess,high,81e58ac5c619443f171e95bc06c319cf314140548723f266f02ac3aa9bc45c68,False,
DA_d2_heldout100/254,DA_d2_heldout100,DA,254,pairwise_tournament,True,False,False,10,Levator scapulae muscle abscess,Pyomyositis,high,81e58ac5c619443f171e95bc06c319cf314140548723f266f02ac3aa9bc45c68,False,
DA_d2_heldout100/255,DA_d2_heldout100,DA,255,evidence_count_control,True,False,False,9,Pemphigus,Lupus erythematosus,low,3e21bf6400237166584cb863485176017a2e9195f88ddd26127c1c8facd9d411,False,
DA_d2_heldout100/255,DA_d2_heldout100,DA,255,e7_contrast,True,False,False,9,Pemphigus foliaceus,Pemphigus,high,3e21bf6400237166584cb863485176017a2e9195f88ddd26127c1c8facd9d411,True,
DA_d2_heldout100/255,DA_d2_heldout100,DA,255,forest_evidence_integrator,True,False,False,9,Pemphigus foliaceus,Pemphigus,high,3e21bf6400237166584cb863485176017a2e9195f88ddd26127c1c8facd9d411,False,
DA_d2_heldout100/255,DA_d2_heldout100,DA,255,collapse_obligation_ledger,True,False,False,9,Pemphigus foliaceus,Pemphigus,high,3e21bf6400237166584cb863485176017a2e9195f88ddd26127c1c8facd9d411,False,
DA_d2_heldout100/255,DA_d2_heldout100,DA,255,pairwise_tournament,True,False,False,9,Pemphigus foliaceus,Pemphigus,high,3e21bf6400237166584cb863485176017a2e9195f88ddd26127c1c8facd9d411,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,evidence_count_control,True,False,False,10,CARASIL syndrome,Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy (CADASIL),low,a01413ed63b7df88fe6703e9e14b4663d216616b98183488ce8d5c2d81fe317b,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,e7_contrast,True,False,False,10,HTRA1-related hereditary cerebral small vessel disease,CARASIL syndrome,high,a01413ed63b7df88fe6703e9e14b4663d216616b98183488ce8d5c2d81fe317b,True,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,forest_evidence_integrator,True,False,False,10,HTRA1-related hereditary cerebral small vessel disease,CARASIL syndrome,high,a01413ed63b7df88fe6703e9e14b4663d216616b98183488ce8d5c2d81fe317b,False,
DA_d2_heldout100/257,DA_d2_heldout100,DA,257,collapse_obligation_ledger,True,False,False,10,HTRA1-related hereditary cerebral small vessel disease,CARASIL syndrome,high,a01413ed63b7df88fe6703e9e14b4663d216616b98183488ce8d5c2d81fe317b,False,
